[2023-03-08 12:55:01,571] multiqc                                            [DEBUG  ]  This is MultiQC v1.13
[2023-03-08 12:55:02,332] multiqc                                            [DEBUG  ]  Analysing modules: custom_content, hisat2, picard, preseq, qualimap, rsem, rseqc, salmon, samtools, sortmerna, star, fastqc, cutadapt, fastqc
[2023-03-08 12:55:02,332] multiqc                                            [DEBUG  ]  Using temporary directory for creating report: /tmp/tmpale2bwwo
[2023-03-08 12:55:02,465] multiqc                                            [INFO   ]  Search path : /gpfs/projects/GenomicsCore/nf-core/configs/conf/work/7e/c1ee08dec6a120a9b50d012e4ca9aa
[2023-03-08 12:55:02,466] multiqc                                            [DEBUG  ]  Ignored 224 search patterns as didn't match running modules.
[2023-03-08 12:55:02,466] multiqc                                            [INFO   ]  Skipping 17 file search patterns
[2023-03-08 12:55:02,466] multiqc                                            [DEBUG  ]  Skipping search patterns: picard/alignment_metrics, picard/basedistributionbycycle, picard/gcbias, picard/hsmetrics, picard/insertsize, picard/oxogmetrics, picard/pcr_metrics, picard/quality_by_cycle, picard/quality_score_distribution, picard/quality_yield_metrics, picard/rnaseqmetrics, picard/rrbs_metrics, picard/sam_file_validation, picard/variant_calling_metrics, picard/wgs_metrics, rseqc/gene_body_coverage, rseqc/read_gc
[2023-03-08 12:55:03,821] multiqc                                            [DEBUG  ]  Summary of files that were skipped by the search: [skipped_no_match: 218]
[2023-03-08 12:55:04,391] multiqc.plots.bargraph                             [DEBUG  ]  Using matplotlib version 3.5.3
[2023-03-08 12:55:04,392] multiqc.plots.linegraph                            [DEBUG  ]  Using matplotlib version 3.5.3
[2023-03-08 12:55:04,484] multiqc.modules.custom_content.custom_content      [INFO   ]  nf-core-rnaseq-methods-description: Found 1 sample (html)
[2023-03-08 12:55:04,485] multiqc.modules.custom_content.custom_content      [INFO   ]  fail_strand_check: Found 1 samples (table)
[2023-03-08 12:55:04,485] multiqc.modules.custom_content.custom_content      [INFO   ]  software_versions: Found 1 sample (html)
[2023-03-08 12:55:04,485] multiqc.modules.custom_content.custom_content      [INFO   ]  nf-core-rnaseq-summary: Found 1 sample (html)
[2023-03-08 12:55:04,485] multiqc                                            [DEBUG  ]  multiqc_salmon_deseq2_clustering-plot could not be saved as tsv/csv. Falling back to YAML.
[2023-03-08 12:55:04,486] multiqc.modules.custom_content.custom_content      [INFO   ]  salmon_deseq2_clustering: Found 5 samples (heatmap)
[2023-03-08 12:55:04,486] multiqc.modules.custom_content.custom_content      [INFO   ]  salmon_deseq2_pca: Found 5 samples (scatter)
[2023-03-08 12:55:04,486] multiqc.modules.custom_content.custom_content      [INFO   ]  star_salmon_deseq2_pca: Found 5 samples (scatter)
[2023-03-08 12:55:04,486] multiqc                                            [DEBUG  ]  multiqc_star_salmon_deseq2_clustering-plot could not be saved as tsv/csv. Falling back to YAML.
[2023-03-08 12:55:04,487] multiqc.modules.custom_content.custom_content      [INFO   ]  star_salmon_deseq2_clustering: Found 5 samples (heatmap)
[2023-03-08 12:55:04,487] multiqc.modules.custom_content.custom_content      [INFO   ]  biotype-gs: Found 5 General Statistics columns
[2023-03-08 12:55:05,451] multiqc.modules.custom_content.custom_content      [INFO   ]  biotype_counts: Found 5 samples (bargraph)
[2023-03-08 12:55:05,451] multiqc.modules.custom_content.custom_content      [INFO   ]  DupInt: Found 5 General Statistics columns
[2023-03-08 12:55:05,972] multiqc.modules.custom_content.custom_content      [INFO   ]  dupradar: Found 5 samples (linegraph)
[2023-03-08 12:55:06,717] multiqc.modules.picard.picard                      [INFO   ]  Found 5 MarkDuplicates reports
[2023-03-08 12:55:08,516] multiqc.modules.qualimap.qualimap                  [INFO   ]  Found 5 RNASeq reports
[2023-03-08 12:55:09,204] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 5 read_distribution reports
[2023-03-08 12:55:10,112] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 3 inner_distance reports
[2023-03-08 12:55:10,663] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 5 read_duplication reports
[2023-03-08 12:55:11,926] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 5 junction_annotation reports
[2023-03-08 12:55:13,432] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 5 junction_saturation reports
[2023-03-08 12:55:13,784] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 5 infer_experiment reports
[2023-03-08 12:55:13,790] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 5 bam_stat reports
[2023-03-08 12:55:13,917] multiqc.modules.salmon.salmon                      [INFO   ]  Found 5 meta reports
[2023-03-08 12:55:13,917] multiqc.modules.salmon.salmon                      [INFO   ]  Found 5 fragment length distributions
[2023-03-08 12:55:15,123] multiqc.modules.samtools.samtools                  [INFO   ]  Found 5 stats reports
[2023-03-08 12:55:15,128] multiqc.modules.samtools.samtools                  [INFO   ]  Found 5 flagstat reports
[2023-03-08 12:55:16,127] multiqc.modules.samtools.samtools                  [INFO   ]  Found 5 idxstats reports
[2023-03-08 12:55:16,136] multiqc.modules.star.star                          [INFO   ]  Found 5 reports
[2023-03-08 12:55:16,948] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT_REP2_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-03-08 12:55:16,948] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/RAP1_UNINDUCED_REP2_trimmed_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-03-08 12:55:16,948] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT_REP1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-03-08 12:55:16,948] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/RAP1_UNINDUCED_REP1_trimmed_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-03-08 12:55:16,948] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/RAP1_IAA_30M_REP1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-03-08 12:55:16,948] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT_REP2_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-03-08 12:55:16,949] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT_REP1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-03-08 12:55:16,949] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/RAP1_IAA_30M_REP1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-03-08 12:55:16,949] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/RAP1_IAA_30M_REP1_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2023-03-08 12:55:16,990] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/WT_REP1_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2023-03-08 12:55:17,010] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/RAP1_IAA_30M_REP1_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2023-03-08 12:55:17,055] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/WT_REP2_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2023-03-08 12:55:17,060] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/WT_REP1_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2023-03-08 12:55:17,133] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/RAP1_UNINDUCED_REP2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2023-03-08 12:55:17,186] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/WT_REP2_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2023-03-08 12:55:17,206] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/RAP1_UNINDUCED_REP1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2023-03-08 12:55:17,229] multiqc.modules.fastqc.fastqc                      [INFO   ]  Found 8 reports
[2023-03-08 12:55:22,290] multiqc.modules.cutadapt.cutadapt                  [INFO   ]  Found 8 reports
[2023-03-08 12:55:24,067] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './trimgalore/fastqc/WT_REP2_2_val_2_fastqc.zip' as it matched the path_filters for 'FastQC (trimmed)'
[2023-03-08 12:55:24,101] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './trimgalore/fastqc/RAP1_UNINDUCED_REP2_trimmed_fastqc.zip' as it matched the path_filters for 'FastQC (trimmed)'
[2023-03-08 12:55:24,124] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './trimgalore/fastqc/WT_REP1_1_val_1_fastqc.zip' as it matched the path_filters for 'FastQC (trimmed)'
[2023-03-08 12:55:24,145] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './trimgalore/fastqc/RAP1_UNINDUCED_REP1_trimmed_fastqc.zip' as it matched the path_filters for 'FastQC (trimmed)'
[2023-03-08 12:55:24,167] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './trimgalore/fastqc/RAP1_IAA_30M_REP1_2_val_2_fastqc.zip' as it matched the path_filters for 'FastQC (trimmed)'
[2023-03-08 12:55:24,239] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './trimgalore/fastqc/WT_REP2_1_val_1_fastqc.zip' as it matched the path_filters for 'FastQC (trimmed)'
[2023-03-08 12:55:24,270] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './trimgalore/fastqc/WT_REP1_2_val_2_fastqc.zip' as it matched the path_filters for 'FastQC (trimmed)'
[2023-03-08 12:55:24,298] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './trimgalore/fastqc/RAP1_IAA_30M_REP1_1_val_1_fastqc.zip' as it matched the path_filters for 'FastQC (trimmed)'
[2023-03-08 12:55:24,336] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/RAP1_IAA_30M_REP1_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (trimmed)'
[2023-03-08 12:55:24,336] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/WT_REP1_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (trimmed)'
[2023-03-08 12:55:24,336] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/RAP1_IAA_30M_REP1_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (trimmed)'
[2023-03-08 12:55:24,336] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/WT_REP2_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (trimmed)'
[2023-03-08 12:55:24,336] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/WT_REP1_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (trimmed)'
[2023-03-08 12:55:24,336] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/RAP1_UNINDUCED_REP2_fastqc.zip' as it didn't match the path_filters for 'FastQC (trimmed)'
[2023-03-08 12:55:24,336] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/WT_REP2_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (trimmed)'
[2023-03-08 12:55:24,336] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './fastqc/RAP1_UNINDUCED_REP1_fastqc.zip' as it didn't match the path_filters for 'FastQC (trimmed)'
[2023-03-08 12:55:24,336] multiqc.modules.fastqc.fastqc                      [INFO   ]  Found 8 reports
[2023-03-08 12:55:29,390] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-methods-description' not found for module 'WARNING: Fail Strand Check'.
[2023-03-08 12:55:29,390] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'WARNING: Fail Strand Check'.
[2023-03-08 12:55:29,390] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-summary' not found for module 'WARNING: Fail Strand Check'.
[2023-03-08 12:55:29,390] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-methods-description' not found for module 'SALMON DESeq2 sample similarity'.
[2023-03-08 12:55:29,390] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'SALMON DESeq2 sample similarity'.
[2023-03-08 12:55:29,390] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-summary' not found for module 'SALMON DESeq2 sample similarity'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-methods-description' not found for module 'SALMON DESeq2 PCA plot'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'SALMON DESeq2 PCA plot'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-summary' not found for module 'SALMON DESeq2 PCA plot'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-methods-description' not found for module 'STAR_SALMON DESeq2 PCA plot'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'STAR_SALMON DESeq2 PCA plot'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-summary' not found for module 'STAR_SALMON DESeq2 PCA plot'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-methods-description' not found for module 'STAR_SALMON DESeq2 sample similarity'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'STAR_SALMON DESeq2 sample similarity'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-summary' not found for module 'STAR_SALMON DESeq2 sample similarity'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-methods-description' not found for module 'Biotype Counts'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'Biotype Counts'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-summary' not found for module 'Biotype Counts'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-methods-description' not found for module 'DupRadar'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'DupRadar'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-summary' not found for module 'DupRadar'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-methods-description' not found for module 'Picard'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'Picard'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-summary' not found for module 'Picard'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-methods-description' not found for module 'QualiMap'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'QualiMap'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-summary' not found for module 'QualiMap'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-methods-description' not found for module 'RSeQC'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'RSeQC'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-summary' not found for module 'RSeQC'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-methods-description' not found for module 'Salmon'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'Salmon'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-summary' not found for module 'Salmon'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-methods-description' not found for module 'Samtools'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'Samtools'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-summary' not found for module 'Samtools'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-methods-description' not found for module 'STAR'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'STAR'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-summary' not found for module 'STAR'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-methods-description' not found for module 'FastQC (raw)'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'FastQC (raw)'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-summary' not found for module 'FastQC (raw)'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-methods-description' not found for module 'Cutadapt'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'Cutadapt'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-summary' not found for module 'Cutadapt'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-methods-description' not found for module 'FastQC (trimmed)'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'FastQC (trimmed)'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-summary' not found for module 'FastQC (trimmed)'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-methods-description' not found for module 'nf-core/rnaseq Methods Description'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'nf-core/rnaseq Methods Description'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-summary' not found for module 'nf-core/rnaseq Methods Description'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-methods-description' not found for module 'nf-core/rnaseq Software Versions'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'nf-core/rnaseq Software Versions'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-summary' not found for module 'nf-core/rnaseq Software Versions'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-methods-description' not found for module 'nf-core/rnaseq Workflow Summary'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'nf-core/rnaseq Workflow Summary'.
[2023-03-08 12:55:29,391] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-rnaseq-summary' not found for module 'nf-core/rnaseq Workflow Summary'.
[2023-03-08 12:55:29,420] multiqc                                            [INFO   ]  Compressing plot data
[2023-03-08 12:55:29,692] multiqc                                            [INFO   ]  Report      : multiqc_report.html
[2023-03-08 12:55:29,692] multiqc                                            [INFO   ]  Data        : multiqc_data
[2023-03-08 12:55:29,692] multiqc                                            [DEBUG  ]  Moving data file from '/tmp/tmpale2bwwo/multiqc_data' to '/gpfs/projects/GenomicsCore/nf-core/configs/conf/work/7e/c1ee08dec6a120a9b50d012e4ca9aa/multiqc_data'
[2023-03-08 12:55:29,738] multiqc                                            [INFO   ]  Plots       : multiqc_plots
[2023-03-08 12:55:29,739] multiqc                                            [DEBUG  ]  Moving plots directory from '/tmp/tmpale2bwwo/multiqc_plots' to '/gpfs/projects/GenomicsCore/nf-core/configs/conf/work/7e/c1ee08dec6a120a9b50d012e4ca9aa/multiqc_plots'
[2023-03-08 12:55:29,910] multiqc                                            [INFO   ]  MultiQC complete
