gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	MTW1	8	2	25	6	6
YAL035W	FUN12	414	479	869	770	393
YAL036C	RBG1	54	58	147	84	51
YAL037C-A	YAL037C-A	0	0	0	0	0
YAL037C-B	YAL037C-B	1	254.439	3	0	0
YAL037W	YAL037W	4	5	9	6	1
YAL038W	CDC19	5790	6136.561	13408	10612.673	6472
YAL039C	CYC3	10	23	39	12	6
YAL040C	CLN3	35	44	92	53	38
YAL041W	CDC24	61	65	139	92	51
YAL042C-A	YAL042C-A	0	14.015	0	0	0
YAL042W	ERV46	145	131.985	290	168	105
YAL043C	PTA1	67	67	134	79	43
YAL044C	GCV3	34	57	122	50	26
YAL044W-A	YAL044W-A	6	0	14	9	4
YAL045C	YAL045C	0	3	1	0	0
YAL046C	AIM1	2	3	7	9	8
YAL047C	SPC72	20	23	40	19	14
YAL047W-A	YAL047W-A	0	1	0	0	0
YAL048C	GEM1	18	20	46	25	10
YAL049C	AIM2	29	37	65	34	14
YAL051W	OAF1	40	58	118	83	39
YAL053W	FLC2	116	129	259	138	68
YAL054C	ACS1	4	13	7	4	1
YAL055W	PEX22	6	2	5	2	2
YAL056C-A	YAL056C-A	0	1.037	0	0	0
YAL056W	GPB2	62	49	132	75	39
YAL058W	CNE1	23	26.963	48	41	28
YAL059C-A	YAL059C-A	0	10.605	0	0	0
YAL059W	ECM1	18	12.395	42	34	21
YAL060W	BDH1	50	51	114	44	27
YAL061W	BDH2	30	19	81	10	5
YAL062W	GDH3	17	17	23	27	13
YAL063C	FLO9	4.109	24.532	10.075	6.31	1.082
YAL063C-A	YAL063C-A	0	1	1	0	0
YAL064C-A	TDA8	0	0	0	0	0
YAL064W	YAL064W	0	0	1	0	0
YAL064W-B	YAL064W-B	1	0	1	2	0
YAL065C	YAL065C	0	2	0	0	0
YAL066W	YAL066W	0	0	0	0	0
YAL067C	SEO1	1	3	4	1	0
YAL067W-A	YAL067W-A	0	0	0	0	0
YAL068C	PAU8	2	5	11	4	3
YAL068W-A	YAL068W-A	0	0	1	0	0
YAL069W	YAL069W	2	1	0	0	1
YAR002C-A	ERP1	68	77	154	87	67
YAR002W	NUP60	57	60	119	62	40
YAR003W	SWD1	27	17	35	24	15
YAR007C	RFA1	58	67	126	96	45
YAR008W	SEN34	9	14	18	4	5
YAR009C	YAR009C	17463	16424	31873	38981.119	18319.983
YAR010C	YAR010C	6163	6187	11835	14568.735	6580
YAR014C	BUD14	57	61	166	71	50
YAR015W	ADE1	55	63	150	95	43
YAR018C	KIN3	20	14	28	26	14
YAR019C	CDC15	21	34	72	28	20
YAR019W-A	YAR019W-A	0	0	0	0	0
YAR020C	PAU7	0	0	0	0	0
YAR023C	YAR023C	1	1	5	2	1
YAR027W	UIP3	27	34	73	31	21
YAR028W	YAR028W	19	13	56	16	12
YAR029W	YAR029W	1	2	4	0	0
YAR030C	YAR030C	2	0	2	1	0
YAR031W	PRM9	19	12	38	14	9
YAR033W	MST28	2	16	15	5	3
YAR035C-A	YAR035C-A	0	0	0	0	0
YAR035W	YAT1	2	5	4	12	2
YAR042W	SWH1	104	105	195	132	77
YAR047C	YAR047C	0	0	2	1	0
YAR050W	FLO1	3.891	15.468	10.925	15.69	8.918
YAR053W	YAR053W	0	0	0	0	0
YAR060C	YAR060C	1	0	4	0	1
YAR061W	YAR061W	0	0	0	0	0
YAR062W	YAR062W	1	3	2	1	0
YAR064W	YAR064W	0	2	0	0	0
YAR066W	YAR066W	3	13	8	5	11
YAR068W	YAR068W	12	16	23	10	7
YAR069C	YAR069C	0	0	0	0	1
YAR070C	YAR070C	0	0	0	0	0
