gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
YAR003W	SWD1	27	17	35	22	14
YAR007C	RFA1	56	67	126	95	45
YAR008W	SEN34	8	14	18	4	5
YAR009C	YAR009C	16523	17154	33244	36435	17184
YAR010C	YAR010C	5741	6178	11826	13470	6132
YAR014C	BUD14	55	61	168	68	50
YAR015W	ADE1	53	63	151	91	39
YAR018C	KIN3	20	14	28	25	14
YAR019C	CDC15	21	35	72	26	18
YAR019W-A	YAR019W-A	0	0	0	0	0
YAR020C	PAU7	0	0	0	0	0
YAR023C	YAR023C	1	1	5	2	0
YAR027W	UIP3	25	34	74	26	19
YAR028W	YAR028W	18	13	56	16	11
YAR029W	YAR029W	1	2	4	0	0
YAR030C	YAR030C	2	0	2	1	0
YAR031W	PRM9	17	15	42	12	9
YAR033W	MST28	1	17	20	5	4
YAR035C-A	YAR035C-A	0	0	0	0	0
YAR035W	YAT1	2	5	4	12	2
YAR042W	SWH1	104	105	198	127	75
YAR047C	YAR047C	0	0	2	1	0
YAR050W	FLO1	4.347	15.719	13.751	13.465	6.89
YAR053W	YAR053W	0	0	0	0	0
YAR060C	YAR060C	1	0	4	0	1
YAR061W	YAR061W	0	0	0	0	0
YAR062W	YAR062W	1	3	2	1	0
YAR064W	YAR064W	0	2	0	0	0
YAR066W	YAR066W	3	13	8	5	11
YAR068W	YAR068W	9	28	24	5	7
YAR069C	YAR069C	0	0	0	0	1
YAR070C	YAR070C	0	0	0	0	0
